


"COTTON-UP (Including Form G Cotton), All Crop Years"
Commodity,Unit of Measure,Crop Year,Maturity Date,Outstanding Count,Outstanding Quantity,Outstanding Amount ($)
COTTON-UP,Bales,2024,"Jul, 2025",4,61.00,"16,461.94"
COTTON-UP,Bales,2024,"Aug, 2025",455,"248,678.00","66,245,475.19"
COTTON-UP,Bales,2024,"Sep, 2025",230,"285,677.00","75,500,604.88"
COTTON-UP,Bales,2024,"Oct, 2025",157,"184,052.00","48,852,952.86"
COTTON-UP,Bales,2024,"Nov, 2025",14,"55,269.00","14,419,923.63"
COTTON-UP,Bales,2024,"Dec, 2025",4,"25,039.00","6,624,705.14"
COTTON-UP,Bales,2024,"Jan, 2026",4,"4,409.00","1,113,427.23"
COTTON-UP,Bales,2024,"Feb, 2026",0,"3,074.00","785,076.94"
COTTON-UP,Bales,2024,"Mar, 2026",0,313.00,"70,420.77"
