


"COTTON-UP (Including Form G Cotton), All Crop Years"
Commodity,Unit of Measure,Crop Year,Maturity Date,Outstanding Count,Outstanding Quantity,Outstanding Amount ($)
COTTON-UP,Bales,2024,"Jul, 2025",2,18.00,"4,921.46"
COTTON-UP,Bales,2024,"Aug, 2025",455,"247,295.00","65,875,728.74"
COTTON-UP,Bales,2024,"Sep, 2025",230,"283,944.00","75,048,135.33"
COTTON-UP,Bales,2024,"Oct, 2025",157,"182,645.00","48,477,383.94"
COTTON-UP,Bales,2024,"Nov, 2025",14,"54,740.00","14,293,426.30"
COTTON-UP,Bales,2024,"Dec, 2025",4,"25,011.00","6,617,158.88"
COTTON-UP,Bales,2024,"Jan, 2026",4,"4,409.00","1,113,427.23"
COTTON-UP,Bales,2024,"Feb, 2026",0,"3,074.00","785,076.94"
COTTON-UP,Bales,2024,"Mar, 2026",0,313.00,"70,420.77"
