


"COTTON-UP (Including Form G Cotton), All Crop Years"
Commodity,Unit of Measure,Crop Year,Maturity Date,Outstanding Count,Outstanding Quantity,Outstanding Amount ($)
COTTON-UP,Bales,2024,"Jul, 2025",2,18.00,"4,921.46"
COTTON-UP,Bales,2024,"Aug, 2025",455,"247,304.00","65,878,085.31"
COTTON-UP,Bales,2024,"Sep, 2025",230,"284,738.00","75,252,148.67"
COTTON-UP,Bales,2024,"Oct, 2025",157,"183,904.00","48,815,563.07"
COTTON-UP,Bales,2024,"Nov, 2025",14,"55,265.00","14,418,875.84"
COTTON-UP,Bales,2024,"Dec, 2025",4,"25,027.00","6,621,501.31"
COTTON-UP,Bales,2024,"Jan, 2026",4,"4,409.00","1,113,427.23"
COTTON-UP,Bales,2024,"Feb, 2026",0,"3,074.00","785,076.94"
COTTON-UP,Bales,2024,"Mar, 2026",0,313.00,"70,420.77"
